"id_producto","nombre_producto","precio","id_rubro"
"1","Arroz 1kg","1200.00","1"
"2","Fideos Spaghetti 500g","950.00","1"
"3","Harina 1kg","850.00","1"
"4","Aceite de girasol 1L","1800.00","1"
"5","Pan lactal","1500.00","1"
"6","Galletitas dulces","700.00","1"
"7","Agua mineral 2L","900.00","2"
"8","Gaseosa cola 2.25L","1800.00","2"
"9","Jugo de naranja 1L","1200.00","2"
"10","Cerveza lata 473ml","750.00","2"
"11","Vino tinto botella","3500.00","2"
"12","Energética 500ml","1600.00","2"
"13","Detergente 500ml","950.00","3"
"14","Lavandina 1L","750.00","3"
"15","Jabón en polvo 800g","2100.00","3"
"16","Suavizante 1L","1800.00","3"
"17","Esponja multiuso","500.00","3"
"18","Trapo de piso","600.00","3"
"19","Auriculares Bluetooth","12500.00","4"
"20","Mouse inalámbrico","6500.00","4"
"21","Teclado mecánico","22000.00","4"
"22","Monitor 24 pulgadas","85000.00","4"
"23","Parlante portátil","18000.00","4"
"24","Smartphone gama media","180000.00","4"
"25","Camiseta básica","4500.00","5"
"26","Pantalón jean","12500.00","5"
"27","Zapatillas deportivas","32000.00","5"
"28","Campera de abrigo","48000.00","5"
"29","Vestido casual","22000.00","5"
"30","Medias pack x3","3000.00","5"
